Configuration,Language,File Path,Successfully Extracted,Failure Reason
/language:actions,GitHub Actions,.github/workflows/deploy-gh-pages.yml,true,""
/language:actions,GitHub Actions,.github/workflows/deploy-remix.yml,true,""
/language:actions,GitHub Actions,.github/workflows/deploy.yml,true,""
/language:actions,GitHub Actions,.github/workflows/npm-publish-github-packages.yml,true,""
/language:actions,GitHub Actions,.github/workflows/pages-deploy.yml,true,""
/language:actions,GitHub Actions,.github/workflows/ci.yml,true,""
/language:javascript-typescript,JavaScript,game-constants.js,true,""
/language:javascript-typescript,JavaScript,postcss.config.mjs,true,""
/language:javascript-typescript,JavaScript,payment-processor.js,true,""
/language:javascript-typescript,JavaScript,index.js,true,""
/language:javascript-typescript,JavaScript,middleware-insertion-facade.js,true,""
/language:javascript-typescript,JavaScript,docs/assets/js/main.js,true,""
/language:javascript-typescript,JavaScript,deployment-package/cloudflare-worker.js,true,""
/language:javascript-typescript,JavaScript,entry.client-D0uTqQvD.js,true,""
/language:javascript-typescript,JavaScript,bitcoin-monitor.js,true,""
/language:javascript-typescript,JavaScript,ecosystem.config.js,true,""
/language:javascript-typescript,JavaScript,cloudflare-worker.js,true,""
/language:javascript-typescript,JavaScript,business-simulation.js,true,""
/language:javascript-typescript,JavaScript,[[path]].js,true,""
/language:javascript-typescript,JavaScript,crypto-utils.js,true,""
/language:javascript-typescript,JavaScript,eslint.config.mjs,true,""
/language:javascript-typescript,JavaScript,norfolk-events.js,true,""
/language:javascript-typescript,JavaScript,my-workflow-app/postcss.config.mjs,true,""
/language:javascript-typescript,JavaScript,client-B7_6Uz0H.js,true,""
/language:javascript-typescript,JavaScript,deployment-package/cloudflare-worker-deploy.js,true,""
/language:javascript-typescript,JavaScript,functions/_middleware.js,true,""
/language:javascript-typescript,JavaScript,my-workflow-app/BettaDayzPBBG/src/js/main.js,true,""
/language:javascript-typescript,JavaScript,my-workflow-app/BettaDayzPBBG/docs/assets/js/main.js,true,""
/language:javascript-typescript,JavaScript,my-workflow-app/eslint.config.mjs,true,""
/language:javascript-typescript,JavaScript,pages-shim.js,true,""
/language:javascript-typescript,JavaScript,my-workflow-app/next.config.js,false,""
/language:javascript-typescript,JavaScript,next.config.js,false,""
/language:javascript-typescript,TypeScript,app/test-supabase/page.tsx,true,""
/language:javascript-typescript,TypeScript,app/api/proxy/route.ts,true,""
/language:javascript-typescript,TypeScript,app/page.tsx,true,""
/language:javascript-typescript,TypeScript,src/utils/supabase/server.ts,true,""
/language:javascript-typescript,TypeScript,next-env.d.ts,true,""
/language:javascript-typescript,TypeScript,src/utils/supabase/browser.ts,true,""
/language:javascript-typescript,TypeScript,src/utils/supabase/middleware.ts,true,""
/language:javascript-typescript,TypeScript,next.config.ts,true,""
/language:javascript-typescript,TypeScript,my-workflow-app/next.config.ts,true,""
/language:javascript-typescript,TypeScript,deployment-package/supabase.ts,true,""
/language:javascript-typescript,TypeScript,deployment-package/usePlayer.ts,true,""
/language:javascript-typescript,TypeScript,lib/supabase.ts,true,""
/language:javascript-typescript,TypeScript,hooks/usePlayer.ts,true,""
/language:javascript-typescript,TypeScript,app/api/player/[id]/route.ts,true,""
/language:javascript-typescript,TypeScript,app/todos/page.tsx,true,""
/language:javascript-typescript,TypeScript,my-workflow-app/app/layout.tsx,true,""
/language:javascript-typescript,TypeScript,my-workflow-app/app/page.tsx,true,""
/language:javascript-typescript,TypeScript,lib/supabase/client.ts,true,""
/language:javascript-typescript,TypeScript,tailwind.config.ts,true,""
/language:javascript-typescript,TypeScript,app/layout.tsx,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/deploy-gh-pages.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/deploy-remix.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/deploy.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/npm-publish-github-packages.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/pages-deploy.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/ci.yml,true,""
